iter	Passed	Remaining
464	737	848
465	738	845
466	739	843
467	741	842
468	742	841
469	743	838
470	744	836
471	745	834
472	747	832
473	748	830
474	749	828
475	750	826
476	751	823
477	752	821
478	753	819
479	754	817
480	756	815
481	757	813
482	758	811
483	759	809
484	760	807
485	762	806
486	763	804
487	764	801
488	765	799
489	766	797
490	767	795
491	768	793
492	769	791
493	770	789
494	772	787
495	773	785
496	773	783
497	774	781
498	776	779
499	777	777
500	778	775
501	779	773
502	781	771
503	782	770
504	783	768
505	784	766
506	785	764
507	786	762
508	788	760
509	789	758
510	790	756
511	791	753
512	792	751
513	793	749
514	793	747
515	795	745
516	797	744
517	798	742
518	799	740
519	800	738
520	801	736
521	801	734
522	802	732
523	803	730
524	804	728
525	805	726
526	806	723
527	807	721
528	808	719
529	809	718
530	810	716
531	812	714
532	813	712
533	814	710
534	815	708
535	815	706
536	816	704
537	817	702
538	818	700
539	819	698
540	820	696
541	822	695
542	823	693
543	824	691
544	826	689
545	826	687
546	827	685
547	828	683
548	829	681
549	830	679
550	831	677
551	832	675
552	833	673
553	834	671
554	835	669
555	836	667
556	837	666
557	838	664
558	839	662
559	840	660
560	841	658
561	844	657
562	844	655
563	845	653
564	846	652
565	847	650
566	848	648
567	850	646
568	851	644
569	852	643
570	853	641
571	854	639
572	855	637
573	856	635
574	858	634
575	859	632
576	860	631
577	861	629
578	863	627
579	864	625
580	865	624
581	866	622
582	867	620
583	868	618
584	869	616
585	870	614
586	871	612
587	871	610
588	872	609
589	873	607
590	874	605
591	875	603
592	876	601
593	878	600
594	879	598
595	880	596
596	881	595
597	882	593
598	883	591
599	884	589
600	885	587
601	886	585
602	887	583
603	887	582
604	888	580
605	889	578
606	891	577
607	892	575
608	893	573
609	894	571
610	895	570
611	896	568
612	897	566
613	898	565
614	900	563
615	901	562
616	902	560
617	903	558
618	904	556
619	905	555
620	906	553
621	907	551
622	908	549
623	909	548
624	911	546
625	912	544
626	913	543
627	914	541
628	915	539
629	915	537
630	916	536
631	917	534
632	918	532
633	919	530
634	920	529
635	921	527
636	922	525
637	923	523
638	924	522
639	926	521
640	927	519
641	928	517
642	929	516
643	930	514
644	932	513
645	933	511
646	934	509
647	935	507
648	936	506
649	936	504
650	937	502
651	939	501
652	940	499
653	941	498
654	943	497
655	944	495
656	945	493
657	946	492
658	947	490
659	948	488
660	949	486
661	950	485
662	951	483
663	952	482
664	954	480
665	955	479
666	956	477
667	958	476
668	958	474
669	959	472
670	960	471
671	961	469
672	962	467
673	963	466
674	964	464
675	965	462
676	966	461
677	967	459
678	968	458
679	969	456
680	970	454
681	971	452
682	972	451
683	973	449
684	974	447
685	975	446
686	976	444
687	977	443
688	977	441
689	979	440
690	980	438
691	981	436
692	982	435
693	984	434
694	985	432
695	986	430
696	987	429
697	988	427
698	989	425
699	989	424
700	990	422
701	991	421
702	992	419
703	994	417
704	995	416
705	996	414
706	998	413
707	999	412
708	1000	410
709	1001	408
710	1002	407
711	1003	405
712	1004	404
713	1005	402
714	1005	400
715	1006	399
716	1008	398
717	1009	396
718	1010	394
719	1011	393
720	1012	391
721	1013	390
722	1014	388
723	1015	386
724	1015	385
725	1017	383
726	1017	382
727	1019	380
728	1019	379
729	1020	377
730	1022	376
731	1024	375
732	1025	373
733	1026	372
734	1027	370
735	1029	369
736	1030	367
737	1031	366
738	1032	364
739	1033	363
740	1034	361
741	1035	359
742	1036	358
743	1037	356
744	1038	355
745	1040	354
746	1042	352
747	1043	351
748	1044	349
749	1045	348
750	1046	347
751	1048	345
752	1049	344
753	1051	342
754	1052	341
755	1053	339
756	1054	338
757	1055	336
758	1056	335
759	1057	334
760	1058	332
761	1059	331
762	1060	329
763	1062	328
764	1064	326
765	1065	325
766	1067	324
767	1068	322
768	1069	321
769	1071	320
770	1072	318
771	1073	317
772	1074	315
773	1075	314
774	1076	312
775	1077	311
776	1078	309
777	1080	308
778	1082	307
779	1083	305
780	1085	304
781	1085	302
782	1086	301
783	1087	299
784	1088	298
785	1089	296
786	1090	295
787	1091	293
788	1092	292
789	1093	290
790	1094	289
791	1095	287
792	1096	286
793	1097	284
794	1098	283
795	1099	281
796	1100	280
797	1101	278
798	1102	277
799	1103	275
800	1103	274
801	1105	273
802	1106	271
803	1107	270
804	1108	268
805	1109	267
806	1110	265
807	1111	264
808	1112	262
809	1113	261
810	1114	259
811	1115	258
812	1115	256
813	1116	255
814	1118	253
815	1119	252
816	1121	251
817	1122	249
818	1123	248
819	1124	246
820	1125	245
821	1126	243
822	1127	242
823	1128	241
824	1129	239
825	1130	238
826	1131	236
827	1131	235
828	1133	233
829	1134	232
830	1135	230
831	1136	229
832	1137	228
833	1138	226
834	1140	225
835	1140	223
836	1141	222
837	1142	220
838	1143	219
839	1144	218
840	1145	216
841	1147	215
842	1147	213
843	1148	212
844	1150	210
845	1151	209
846	1152	208
847	1153	206
848	1154	205
849	1155	203
850	1156	202
851	1157	201
852	1158	199
853	1159	198
854	1160	196
855	1162	195
856	1163	194
857	1164	192
858	1165	191
859	1165	189
860	1166	188
861	1167	186
862	1168	185
863	1169	184
864	1170	182
865	1171	181
866	1172	179
867	1173	178
868	1174	177
869	1175	175
870	1177	174
871	1178	172
872	1179	171
873	1180	170
874	1181	168
875	1182	167
876	1183	166
877	1184	164
878	1185	163
879	1186	161
880	1187	160
881	1188	159
882	1189	157
883	1190	156
884	1191	154
885	1192	153
886	1193	152
887	1194	150
888	1195	149
889	1196	147
890	1197	146
891	1198	145
892	1199	143
893	1201	142
894	1202	141
895	1203	139
896	1205	138
897	1206	137
898	1207	135
899	1208	134
900	1209	132
901	1210	131
902	1211	130
903	1212	128
904	1213	127
905	1214	126
906	1215	124
907	1217	123
908	1219	122
909	1220	120
910	1221	119
911	1222	118
912	1223	116
913	1224	115
914	1225	113
915	1226	112
916	1227	111
917	1228	109
918	1229	108
919	1230	107
920	1232	105
921	1234	104
922	1235	103
923	1236	101
924	1237	100
925	1237	98
926	1238	97
927	1239	96
928	1240	94
929	1241	93
930	1243	92
931	1244	90
932	1245	89
933	1246	88
934	1247	86
935	1248	85
936	1249	83
937	1250	82
938	1250	81
939	1251	79
940	1252	78
941	1253	77
942	1254	75
943	1255	74
944	1256	73
945	1258	71
946	1259	70
947	1261	69
948	1262	67
949	1263	66
950	1264	65
951	1265	63
952	1265	62
953	1266	61
954	1267	59
955	1268	58
956	1269	57
957	1270	55
958	1271	54
959	1273	53
960	1273	51
961	1274	50
962	1275	49
963	1276	47
964	1277	46
965	1278	44
966	1279	43
967	1280	42
968	1281	40
969	1282	39
970	1283	38
971	1285	37
972	1287	35
973	1288	34
974	1289	33
975	1290	31
976	1291	30
977	1291	29
978	1292	27
979	1293	26
980	1294	25
981	1295	23
982	1296	22
983	1299	21
984	1300	19
985	1301	18
986	1302	17
987	1303	15
988	1304	14
989	1305	13
990	1306	11
991	1307	10
992	1308	9
993	1309	7
994	1310	6
995	1311	5
996	1312	3
997	1313	2
998	1314	1
999	1315	0
